sic8,is_1to1_NAICS,Description,Baseline_Subindustry,Division,span_warn,Crosslisting,L1,L2,L3,L4,NAICS_Suggestion,METRO_ACS0812,NAICS,Notes,Baseline_Type,SIC4,SIC2,bundle_rep,flag____,strong,exists,misuse_warn,disfavored_warn,dubious_warn,ambiguous_warn
26550302,Y,"Hampers, shipping (vulcanized fiber): purchased ma","",Manufacturing,0,,MOVE,LOGIS,PACK,EOP,,,"",,"",2655,26,1,N,Y,Y,0,0,0,0
26550303,Y,"Tubes, mailing: made from purchased paper fiber","",Manufacturing,0,,MOVE,LOGIS,PACK,EOP,,,"",,"",2655,26,1,N,Y,Y,0,0,0,0
26579900,Y,"Folding paperboard boxes, nec","",Manufacturing,0,,,,,,,,"",,"",2657,26,1,N,Y,Y,0,0,0,0
26579902,Y,Paperboard backs for blister or skin packages,"",Manufacturing,0,,,,,,,,"",,"",2657,26,1,N,Y,Y,0,0,0,0
26719900,N,"Paper; coated and laminated packaging, nec","",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719901,N,"Bread wrappers, waxed or laminated: purchased mate","",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719902,N,"Paper, coated or laminated for packaging","",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719903,N,"Plastic film, coated or laminated for packaging","",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719904,N,Resinous impregnated paper for packaging,"",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719905,N,Thermoplastic coated paper for packaging,"",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719906,N,Waxed paper: made from purchased material,"",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26719907,N,"Wrapping paper, waterproof or coated","",Manufacturing,0,,,,,,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26720101,Y,Condenser paper: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720102,Y,Enameled paper: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720103,Y,Fly paper: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720104,Y,Litmus paper: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720105,Y,Metallic covered paper: made from purchased materi,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720106,Y,Oiled paper: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720107,Y,Soap impregnated papers and paper washcloths,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720108,Y,Tar paper: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720109,Y,Thermoplastic coated paper: made from purchased ma,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720110,Y,"Transfer paper, gold or silver: from purchased mat","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26729900,Y,"Paper; coated and laminated, nec","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26729901,Y,"Book paper, coated: made from purchased materials","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26729902,Y,Cloth lined paper: made from purchased paper,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26729903,Y,"Coated paper, except photographic, carbon, or abra","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26729904,Y,"Eyelets, cloth or paper: made from purchased mater","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26750300,N,Stencils and lettering materials: die-cut,"",Manufacturing,0,,FUN,ART,GOODS,EOP,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26729905,Y,"Glazed paper, except photographic, carbon, or abra","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26710000,N,Paper; coated and laminated packaging,"",Manufacturing,0,,MOVE,LOGIS,PACK,EOP,,,,,"",2671,26,1,N,Y,Y,0,0,0,0
26720200,Y,"Adhesive papers, labels, or tapes: from purchased ","",Manufacturing,0,,NEC,GOODS,OFFICE,PAPER,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720205,Y,"Labels (unprinted), gummed: made from purchased ma","",Manufacturing,0,,NEC,GOODS,OFFICE,PAPER,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26560302,Y,"Pails, sanitary food: made from purchased material","",Manufacturing,0,,NEC,GOODS,FOOD,SERVE,,,"",,"",2656,26,1,N,Y,Y,0,0,0,0
26560202,Y,Ice cream containers: made from purchased material,"",Manufacturing,0,,NEC,GOODS,FOOD,SERVE,,,"",,"",2656,26,1,N,Y,Y,0,0,0,0
26560300,Y,"Food containers (liquid tight), including milk car","",Manufacturing,0,,NEC,GOODS,FOOD,SERVE,,,"",,"",2656,26,1,N,Y,Y,0,0,0,0
26560301,Y,"Cartons, milk: made from purchased material","",Manufacturing,0,,NEC,GOODS,FOOD,SERVE,,,"",,"",2656,26,1,N,Y,Y,0,0,0,0
26579901,Y,"Food containers, folding: made from purchased mate","",Manufacturing,0,,NEC,GOODS,FOOD,SERVE,,,"",,"",2657,26,1,N,Y,Y,0,0,0,0
26720204,Y,"Gummed tape, cloth or paper base: from purchased m","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720203,Y,Gummed paper: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720202,Y,Cellophane adhesive tape: made from purchased mate,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720201,Y,"Adhesive backed films, foams and foils","",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720207,Y,"Tape, pressure sensitive: made from purchased mate","",Manufacturing,0,,MOVE,LOGIS,PACK,EOP,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26720206,Y,Masking tape: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2672,26,1,N,Y,Y,0,0,0,0
26730101,N,Garment bags (plastic film): made from purchased m,"",Manufacturing,0,,,,,,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26730102,N,Wardrobe bags (closet accessories): from purchased,"",Manufacturing,0,,,,,,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26730200,N,Food storage and trash bags (plastic),"",Manufacturing,0,,NEC,GOODS,PETRO,PLASTIC,,,,,"",2673,26,1,N,Y,Y,0,0,0,0
26740100,Y,Shipping and shopping bags or sacks,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26740101,Y,Grocers' bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26740102,Y,"Shipping bags or sacks, including multiwall and he","",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26740103,Y,Shopping bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749900,Y,"Bags: uncoated paper and multiwall, nec","",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749901,Y,Cement bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749902,Y,Flour bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749903,Y,Glassine bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
27540402,Y,Seals: gravure printing,"",Manufacturing,0,,,,,,,,"",,"",2754,27,1,N,Y,Y,0,0,0,0
26749904,Y,Mothproof bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749905,Y,Paper bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26749906,Y,Vacuum cleaner bags: made from purchased materials,"",Manufacturing,0,,,,,,,,"",,"",2674,26,1,N,Y,Y,0,0,0,0
26750000,N,Die-cut paper and board,"",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750100,N,"Cardboard cut-outs, panels, and foundations: die-c","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750101,N,"Cutouts, cardboard, die-cut: from purchased materi","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750102,N,"Foundations, cardboard, die-cut: from purchased ma","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
26750103,N,"Panels, cardboard, die-cut: made from purchased ma","",Manufacturing,0,,,,,,,,,,"",2675,26,1,N,Y,Y,0,0,0,0
